#|Lektion 48 / jh|
a/k1|felix, felicis, felicior, felicissimus|erfolgreich, glücklich
w|vel ... vel|entweder ... oder
v/k|opprimere, opprimo, oppressi, oppressum|bedrohen, unterdrücken
b|namque|denn, nämlich
b|fere|beinahe, fast
s/o/n|commodum, commodi|Vorteil, Bequemlichkeit
a/ao/p|iustus, i|gerecht
w|ea ratione, ut|in der Absicht, dass
b|triginta|dreißig
v/ki|prospicere, prospicio, prospexi, prospectum|schauen auf, sehen
a/ao/p|universus, universi|gesamt
b|sicut|so wie
b|quamvis|wenn auch; beliebig
b|prorsus|überhaupt, völlig
b|sicut|so
s/a|anima, animae|Atem, Leben
a/ao/p|placidus, placidi|friedlich, ruhig, sanft
a/ao|beatus, beati, beatior, beatissimus|glücklich, reich
s/o/n|indicium, indicii|Anzeige, Kennzeichen
v/k|convertere, converto, conversi, conversum|verändern, wenden
