s/k|victor, victoris, m|der/ein Sieger
s/o/n|praemium, praemii, n|Der/ein Lohn, die/eine Belohnung, der/ein Preis
v/k|proponere, propono, proposui, propositum|versprechen, in Aussicht stellen, aufstellen, sich vornehmen
v/!|afferre, affero, attuli, allatum|(herbei)bringen, mitbringen, zufügen
s/k|ars, artis, f|die/eine Kunst, die eine Kunstfertigkeit, das/eine Handwerk
s/o/n|argentum, argenti, n|(das) Silber
v/!|praeesse, praesum, praefui|mit Dat. Verwalten, leiten, kommadieren
a/ao/p|falsus, falsi|falsch 
o|nuper|neulich
v/k|legere, lego, legi, lectum|lesen, sammeln
v/a|impetrare, impetro, impetravi, impetratum|erreichen, durchsetzen,zustande bringen
a/ao/p|antiquus, antiqui|alt, früher
v/k|incolere, incolo, incolui, incultum|bewohnen, wohnen
s/k|orbis, orbis, m|der/in Kreis, die eine Scheibe
o|orbis terrarum|der/ein Erdkreis, die/eine Welt
s/o/n|aurum, auri, n|(das) Gold
s/k/n|aes, aeris, n|(das) Erz, (das) Kupfer, (die) Bronze
a/k2|mirabilis, mirabilis, mirabilior, mirabilimus|erstaunlich, bewundernswert
o|primo|zuerst, anfangs, zum ersten Mal
o|si|wenn
a/ao/p|rectus, recti|richtig, gerade
o|nisi|wenn nicht
o|quodsi|wenn also, wenn aber
a/!|ambo, ambae, ambo|beide
o|fortasse|vielleicht
